Peter Pheyra;13;21;1822;76;1;56;11
Shiver;14;19;1583;42;1;96;1
BlueJayWay;24;16;2510;58;0;196;9
MASSAS VENEZA;15;22;2180;20;0;36;8
TOME POSSE;25;17;2121;32;0;27;2
BeBe GoRiLa™;8;20;1635;75;0;110;14
MELHOR JAIR SE ACOSTUMANDO;15;16;1215;40;0;138;4
MASSAS VENEZA;21;17;1992;47;0;67;11
BlueJayWay;9;16;1277;44;0;284;5
TOME POSSE;10;13;1216;40;0;11;3
BeBe GoRiLa™;12;16;1143;25;0;84;15
MELHOR JAIR SE ACOSTUMANDO;5;19;871;80;0;44;0
Foguete95;18;14;2188;55;1;273;12
neto?;20;8;2136;35;1;211;15
Peter Pheyra;14;12;1544;57;1;269;4
Shiver;13;12;1361;30;1;51;2
FERA;16;11;1175;37;1;95;11
Foguete95;15;20;2048;53;0;23;7
FERA;17;19;1730;23;0;124;6
Peter Pheyra;13;20;1563;53;0;185;8
neto?;16;15;1497;31;0;47;6
Shiver;13;18;1222;38;0;27;1
TOME POSSE;21;15;2315;47;1;107;5
MASSAS VENEZA;20;12;2666;30;1;107;5
BeBe GoRiLa™;21;15;2159;33;1;107;19
BlueJayWay;21;13;1965;33;1;266;7
MELHOR JAIR SE ACOSTUMANDO;9;19;987;44;1;0;2
FERA;21;18;2385;9;0;130;7
Peter Pheyra;20;20;1972;40;0;12;3
neto?;14;116;1904;35;0;206;6
Jalin Tupi Dipal;10;19;1266;30;0;110;20
TOME POSSE;19;14;2122;42;1;130;4
MASSAS VENEZA;17;13;2110;52;1;62;14
BeBe GoRiLa™;18;15;1962;38;1;46;6
BlueJayWay;18;13;1819;22;1;16;4
Vó Lurdes;19;15;1759;42;1;0;0
Fera;22;17;2539;40;1;31;12
MASSAS VENEZA;28;15;2373;50;1;0;7
BeBe GoRiLa™;19;17;2091;47;1;86;6
Peter Pheyra;13;16;1407;84;1;120;4
MELHOR JAIR SE ACOSTUMANDO;7;17;1053;28;1;262;14
neto?;23;15;2299;26;0;65;9
Kaduzera;18;22;1938;44;0;295;4
TOME POSSE;24;15;1817;41;0;20;3
Shiver;9;20;1691;44;0;119;0
Jalin Tupi Dipal;7;17;1073;28;0;237;11
fera;25;14;2770;28;0;133;5
MASSAS VENEZA;20;14;1958;45;0;6;11
Peter Pheyra;10;15;1294;30;0;131;8
Gust;9;16;1242;22;0;102;1
MELHOR JAIR SE ACOSTUMANDO;6;16;572;16;0;0;1
Kaduzera;26;12;2569;53;1;159;8
TOME POSSE;22;13;2050;63;1;1;4
neto?;14;16;1725;50;1;265;13
Shiver;6;16;1033;33;1;163;8
Jalin Tupi Dipal;7;13;998;14;1;57;12
MASSAS VENEZA;26;12;2551;38;1;156;2
fera;21;13;1811;38;1;58;10
BeBe GoRiLa™;12;13;1512;41;1;129;13
Gust;8;17;1206;25;1;102;2
Peter Pheyra;7;15;1084;85;1;222;2
Kaduzera;14;12;1866;57;0;287;4
neto?;14;16;1731;50;0;186;2
TOME POSSE;15;16;1589;46;0;57;6
Raul Picadi Mel;15;15;1468;40;0;102;1
Jalin Tupi Dipal;12;16;1165;50;0;108;8
